,parcelid,bedroomcnt,taxvaluedollarcnt,calculatedfinishedsquarefeet,taxamount
58,12462465,2.0,203113.0,1766.0,2486.26
59,12265744,3.0,304000.0,1493.0,5363.37
60,11033823,3.0,329298.0,1014.0,4132.95
61,12460690,2.0,279000.0,998.0,3417.41
62,12460440,2.0,309098.0,1268.0,3762.96
63,12752649,3.0,120877.0,2020.0,1801.99
64,12400532,3.0,405844.0,1135.0,4956.25
65,11168101,3.0,381074.0,1356.0,5261.8
66,12779665,3.0,613000.0,1912.0,7620.79
67,11553985,2.0,526237.0,1581.0,6513.41
68,11016174,4.0,529000.0,1545.0,6454.32
69,12767272,3.0,240155.0,1612.0,3904.88
70,10816453,3.0,925806.0,2388.0,11212.58
71,12250438,2.0,154349.0,973.0,1927.53
72,11281518,2.0,86578.0,1317.0,1814.04
73,12760933,3.0,386000.0,1436.0,4926.37
74,12760263,2.0,61223.0,927.0,1053.05
75,11280307,3.0,101143.0,1094.0,1975.25
76,11635026,2.0,368808.0,1558.0,4610.33
77,12768887,2.0,250798.0,796.0,3397.37
78,11298368,3.0,105149.0,1502.0,2037.28
79,11561051,2.0,664988.0,1160.0,7941.79
80,11285800,4.0,44559.0,1352.0,1320.52
81,12268626,3.0,258887.0,1236.0,3524.58
82,11278514,4.0,183000.0,1754.0,2883.66
83,11792481,2.0,430000.0,981.0,5186.7
84,12756670,2.0,144102.0,832.0,2039.16
85,11169320,3.0,416091.0,1678.0,5974.75
86,11201145,3.0,43506.0,983.0,1407.67
87,11201591,3.0,114760.0,1560.0,2263.58
88,11013055,3.0,302612.0,1703.0,3847.18
89,12592021,3.0,460811.0,1321.0,5789.85
90,11202454,4.0,213244.0,2048.0,3183.54
91,12671727,3.0,456861.0,1399.0,5226.35
92,10969383,3.0,260056.0,864.0,3303.91
93,12213784,2.0,20865.0,992.0,769.33
94,11312166,3.0,125729.0,1569.0,2317.52
95,12023868,3.0,1218072.0,1950.0,14800.5
96,11607620,2.0,424285.0,1382.0,5426.46
97,12473881,3.0,473134.0,1214.0,5888.55
98,12078614,4.0,752570.0,2504.0,8313.62
99,12252417,3.0,55040.0,1083.0,932.45
100,10750812,4.0,529990.0,2215.0,6365.65
101,11646053,2.0,682937.0,1556.0,8168.11
102,11213714,3.0,179483.0,1202.0,3339.17
103,12836830,3.0,246454.0,1464.0,3174.63
104,12480709,2.0,67166.0,848.0,1073.92
105,12179610,4.0,191531.0,2800.0,2317.69
106,11860038,5.0,690000.0,2266.0,8562.89
107,11270112,3.0,222638.0,2020.0,3433.82
108,11790968,1.0,327118.0,1990.0,4066.6
109,12741391,3.0,286985.0,1573.0,3843.2
110,11315088,3.0,158313.0,1223.0,2701.1
111,11903394,2.0,239253.0,1220.0,2946.75
112,12353759,2.0,227808.0,1449.0,3557.19
113,10752668,2.0,168986.0,1054.0,2871.9
114,11646891,4.0,1656855.0,1904.0,19849.65
115,12082610,2.0,44435.0,1104.0,510.56
116,10818262,3.0,670065.0,2240.0,8868.14
117,11566163,2.0,797000.0,1670.0,9536.04
118,12273512,2.0,176038.0,699.0,2533.45
119,12811897,1.0,124890.0,490.0,1722.75
120,12747257,2.0,407000.0,1008.0,5246.44
121,11276186,4.0,166190.0,1914.0,2772.24
122,10808702,3.0,543654.0,1299.0,6679.8
123,10845088,3.0,502548.0,1510.0,6113.67
124,12464671,3.0,582528.0,2178.0,6907.33
125,12464212,2.0,856000.0,1680.0,10119.9
126,11532991,2.0,1395968.0,1686.0,16760.44
127,11898548,2.0,473237.0,1070.0,5478.96
128,10965798,4.0,418820.0,1766.0,5151.55
129,12471532,3.0,508000.0,1180.0,6211.15
130,11642948,1.0,427370.0,728.0,5163.38
131,12075306,5.0,4370651.0,7003.0,47861.25
132,12817483,4.0,501583.0,1898.0,5874.19
133,12745547,3.0,116280.0,883.0,1871.05
134,11867912,2.0,85317.0,1200.0,1283.89
135,11966821,2.0,480000.0,800.0,5836.52
136,12190349,2.0,132080.0,990.0,1706.86
137,12273036,2.0,30223.0,913.0,878.45
138,12073668,2.0,275717.0,1501.0,3009.4
139,11039885,3.0,390912.0,1229.0,4801.85
140,11338161,4.0,390000.0,3413.0,4871.99
141,12936527,3.0,550000.0,1810.0,6759.28
142,12380487,2.0,57936.0,1386.0,1288.57
143,11263345,3.0,51307.0,1407.0,1240.09
144,13000325,3.0,438372.0,1817.0,6426.23
145,12124453,4.0,40423.0,1170.0,790.24
146,12896437,5.0,382608.0,2614.0,4732.71
147,12896685,3.0,424568.0,1511.0,5064.2
148,11185483,7.0,326341.0,3130.0,5021.35
149,13003913,3.0,255693.0,1100.0,4000.43
150,11073063,5.0,446951.0,2590.0,5509.97
151,11248913,3.0,97327.0,1346.0,1253.91
152,13049078,4.0,261538.0,2274.0,3403.26
153,12900424,3.0,43233.0,1402.0,811.99
154,11120421,3.0,429683.0,1796.0,5909.7
155,11946092,2.0,542048.0,1895.0,6534.81
156,11857848,4.0,685323.0,2468.0,8212.36
157,11108685,4.0,294410.0,2263.0,4220.2
158,10846097,3.0,88794.0,1736.0,1135.51
159,12717246,4.0,258581.0,1744.0,3590.79
160,11001320,3.0,194007.0,1380.0,2360.45
161,12998502,3.0,613000.0,1613.0,8058.98
162,11065993,3.0,248774.0,1603.0,3099.27
163,11678883,4.0,239615.0,2547.0,3942.91
164,11657717,2.0,1020000.0,1564.0,12267.37
165,12103148,2.0,565188.0,1592.0,6572.72
166,13065815,3.0,226993.0,1626.0,2843.81
167,12413736,4.0,737000.0,1934.0,8338.72
168,12731216,4.0,549236.0,1994.0,6871.02
169,11381373,3.0,198127.0,1196.0,2404.92
170,11125850,3.0,362435.0,1710.0,4876.43
171,11757342,5.0,92317.0,2626.0,1292.36
172,11667870,4.0,1707368.0,1972.0,20585.62
173,12889363,2.0,133025.0,913.0,1823.27
174,10803768,2.0,341724.0,1160.0,4169.07
175,11391305,3.0,219653.0,1275.0,3992.8
176,12504131,2.0,326191.0,942.0,4022.66
177,11105963,2.0,137484.0,1114.0,2161.09
178,12504405,2.0,295437.0,836.0,3645.14
179,11667272,3.0,1863960.0,2047.0,22539.45
180,10856232,2.0,416091.0,1650.0,5094.26
181,12313206,2.0,281385.0,874.0,3723.41
182,11203683,3.0,130843.0,1359.0,2441.08
183,12720469,3.0,387238.0,1333.0,5001.41
184,10850827,2.0,399000.0,1371.0,4794.74
185,11663691,6.0,4318177.0,4135.0,51753.48
186,12641786,3.0,275833.0,1598.0,3392.99
187,11427902,2.0,71419.0,1291.0,1437.55
188,10850922,4.0,654836.0,1533.0,7942.88
189,12908998,4.0,325341.0,2238.0,4095.32
190,13022762,4.0,395000.0,1100.0,4887.85
191,11237179,3.0,242000.0,2225.0,5015.6
192,13034824,4.0,515000.0,1567.0,6200.92
193,12518552,3.0,468104.0,1687.0,5694.22
194,10714536,4.0,525000.0,2233.0,6347.26
195,12619914,2.0,259903.0,872.0,3415.73
196,12630934,2.0,193998.0,1081.0,2425.65
197,12912941,2.0,153848.0,981.0,2090.65
198,10859517,4.0,1708630.0,3201.0,20688.55
199,12319747,3.0,150348.0,1456.0,1982.84
200,12548211,2.0,217074.0,1544.0,2724.61
201,10780368,3.0,395132.0,1122.0,4809.79
202,10910046,2.0,517766.0,970.0,6169.74
203,11588404,3.0,1139088.0,1520.0,13374.96
204,12926173,2.0,180735.0,1182.0,2466.22
205,12903331,3.0,217461.0,1130.0,2854.15
206,11484472,2.0,106916.0,700.0,1743.23
207,12429914,3.0,490000.0,1066.0,6077.74
208,12925936,3.0,363459.0,1395.0,4550.17
209,12698066,3.0,107020.0,1568.0,1338.87
210,13040361,3.0,451786.0,1440.0,5486.27
211,13044658,5.0,1168139.0,5218.0,13336.29
212,11260390,4.0,201593.0,2348.0,2553.06
213,12155776,5.0,945376.0,3064.0,11206.16
214,11110996,3.0,249343.0,1307.0,3486.47
215,12701259,3.0,122768.0,1802.0,1801.68
216,11077135,4.0,209110.0,1773.0,2591.7
217,11630049,2.0,675141.0,1421.0,8077.51
218,11111466,4.0,267574.0,1624.0,3713.98
219,11684191,2.0,5177672.0,2419.0,59223.38
220,11184912,3.0,141611.0,1218.0,2644.92
221,11655397,4.0,1732657.0,2791.0,20966.1
222,11497349,4.0,2278000.0,3743.0,25241.34
223,12390789,3.0,34328.0,676.0,914.46
224,11670323,4.0,2083810.0,3314.0,25096.78
225,11454776,2.0,405690.0,1140.0,4931.95
226,11628304,3.0,177242.0,2363.0,2196.35
227,12623922,2.0,285000.0,1210.0,3527.77
228,10890671,2.0,276122.0,884.0,3417.67
229,11094116,3.0,409000.0,1284.0,5064.09
230,12864046,6.0,610624.0,2375.0,7274.21
231,12863981,5.0,625734.0,3035.0,7460.77
232,12956746,5.0,750645.0,3971.0,9891.19
233,10851064,4.0,712000.0,1533.0,8618.1
234,13089562,4.0,804078.0,2131.0,10008.31
235,11454380,5.0,630584.0,3437.0,7949.88
236,12235261,2.0,215448.0,1339.0,2832.54
237,12953034,3.0,49029.0,1186.0,901.19
238,12102046,2.0,314100.0,1082.0,3731.14
239,13084948,3.0,71135.0,816.0,1173.12
240,11232191,4.0,214294.0,2387.0,4473.09
241,12329077,2.0,68398.0,1160.0,5572.57
242,12391917,2.0,117339.0,864.0,1953.93
243,12529922,2.0,392000.0,1271.0,4662.59
244,11232792,4.0,232683.0,3272.0,5239.98
245,13078472,6.0,681380.0,2084.0,7924.63
246,11840396,3.0,259656.0,1456.0,3488.94
247,11771908,3.0,329000.0,1215.0,4089.57
248,10977533,1.0,217558.0,650.0,3031.99
249,12303159,2.0,116922.0,860.0,1796.92
250,11266326,0.0,49627.0,400.0,703.3
251,12560736,1.0,310000.0,750.0,3800.77
252,12977505,2.0,84742.0,1142.0,1259.92
253,11136488,5.0,1084653.0,4129.0,14224.47
254,12711861,3.0,755000.0,1792.0,8792.95
255,13072894,4.0,423564.0,2074.0,5318.82
256,10992389,3.0,205430.0,1260.0,2578.04
257,11700828,2.0,74294.0,1660.0,1468.49
258,12980417,4.0,321257.0,1872.0,4499.23
259,10946164,2.0,459601.0,1230.0,5020.81
260,12329779,3.0,517766.0,1768.0,6367.51
261,11341852,3.0,217460.0,1040.0,4302.47
262,10942915,2.0,643000.0,1248.0,7124.21
263,12223864,5.0,32257.0,1048.0,892.42
264,11595876,2.0,682755.0,1532.0,8263.67
265,11455475,4.0,115934.0,1938.0,1571.41
266,12206402,2.0,320900.0,1030.0,4041.2
267,11787107,1.0,328000.0,590.0,4124.51
268,11576835,2.0,775276.0,1715.0,9276.83
269,10907569,2.0,354489.0,1425.0,4294.02
270,13014301,3.0,238017.0,1328.0,3419.86
271,10905659,2.0,102269.0,1538.0,1301.95
272,12544576,2.0,212887.0,952.0,2649.19
273,12020637,4.0,847000.0,2227.0,10419.19
274,10739546,5.0,69121.0,1850.0,1079.87
275,11687563,2.0,550550.0,1297.0,6814.29
276,12033783,3.0,1012000.0,1370.0,12162.68
277,10739623,5.0,79066.0,1850.0,1187.18
278,12765494,2.0,399716.0,1155.0,5391.5
279,10842601,2.0,159811.0,786.0,1981.47
280,11249499,4.0,54609.0,1384.0,855.69
281,10945947,3.0,560000.0,1450.0,6129.46
282,12206149,2.0,40955.0,1317.0,618.07
283,12134166,3.0,573381.0,2630.0,6839.34
284,12461071,3.0,426009.0,1225.0,5184.45
285,11453766,3.0,790000.0,1841.0,9691.27
286,10900084,3.0,476191.0,1860.0,5843.92
287,11624354,3.0,848086.0,1773.0,10169.46
288,11575478,2.0,1233929.0,1559.0,14589.39
289,11008947,4.0,710000.0,2269.0,8676.22
290,12761268,4.0,371739.0,2521.0,4803.45
291,12792363,3.0,94395.0,1914.0,1548.31
292,11081533,3.0,337000.0,1322.0,4072.11
293,11671818,2.0,502839.0,1998.0,6180.22
294,11558686,3.0,331664.0,1473.0,4087.91
295,11671863,3.0,750643.0,1777.0,9057.19
296,12749922,4.0,605000.0,2026.0,7550.87
297,11641069,3.0,1760000.0,2577.0,21298.78
298,11206957,4.0,233500.0,2153.0,3648.6
299,11641298,5.0,1894866.0,2586.0,22856.85
300,11474054,2.0,443826.0,1097.0,5317.08
301,11035469,3.0,267146.0,1232.0,3380.03
302,10717917,5.0,775576.0,5271.0,9596.53
303,11431878,2.0,99291.0,1074.0,1400.3
304,12762520,4.0,226994.0,1720.0,3125.33
305,11009268,5.0,660175.0,3142.0,8149.96
306,11158200,4.0,246228.0,1376.0,3557.69
307,12291583,3.0,161662.0,946.0,2415.71
308,12117615,3.0,795000.0,1607.0,9161.71
309,11009893,4.0,797421.0,2994.0,9791.45
310,12794513,4.0,455000.0,1596.0,5737.32
311,10800973,4.0,640000.0,1551.0,7744.58
312,12782440,2.0,405568.0,1889.0,5183.32
313,10843350,2.0,276701.0,1103.0,3409.31
314,12225310,3.0,48819.0,1455.0,936.23
315,12525704,0.0,234050.0,650.0,2890.01
316,11997567,2.0,941136.0,1139.0,11354.65
317,12247837,3.0,369500.0,1061.0,4731.84
318,10803726,2.0,390000.0,1010.0,4740.25
319,11983604,3.0,704162.0,1714.0,8554.21
320,12714984,3.0,735936.0,1833.0,8576.17
321,12269112,3.0,55753.0,1494.0,1193.43
322,10863187,2.0,228431.0,1173.0,2744.64
323,12847318,3.0,347615.0,1780.0,4538.95
324,10809859,4.0,546269.0,3381.0,6825.37
325,11106105,3.0,287191.0,1790.0,5237.8
326,10904507,2.0,704162.0,1715.0,8561.52
327,12525091,2.0,880000.0,1702.0,10457.37
328,12706444,4.0,280408.0,1596.0,3735.28
329,11465574,2.0,490679.0,1380.0,5966.62
330,11851413,2.0,139404.0,1233.0,2400.1
331,12142228,4.0,1346193.0,2128.0,15344.47
332,12941585,2.0,227401.0,1023.0,3104.34
333,10737322,4.0,564429.0,3102.0,6634.11
334,10775292,2.0,190770.0,1311.0,2303.36
335,12779204,3.0,449247.0,1500.0,5639.1
336,12940586,3.0,214832.0,1103.0,2617.22
337,12058417,2.0,166232.0,1313.0,1816.08
338,11637345,3.0,1801829.0,2314.0,20993.02
339,11637347,3.0,2300000.0,2314.0,26762.83
340,11679292,1.0,9120827.0,1678.0,109468.98
341,12222307,2.0,148277.0,816.0,1921.01
342,12655298,4.0,601100.0,1890.0,7293.71
343,11824023,3.0,196289.0,990.0,2920.14
344,12755331,3.0,49239.0,1325.0,942.23
345,11439010,3.0,350140.0,1266.0,4509.96
346,11029750,2.0,123666.0,814.0,1595.61
347,10901724,2.0,310659.0,1100.0,3719.2
348,11282052,3.0,196000.0,1150.0,3163.06
349,10744823,3.0,327503.0,1218.0,3957.52
350,11436683,3.0,60830.0,1024.0,921.98
351,10813895,3.0,158467.0,2024.0,2299.87
352,11016108,4.0,515000.0,1486.0,6356.46
353,11108932,4.0,343937.0,2407.0,5212.57
354,11242048,3.0,321056.0,2500.0,3883.38
355,11435944,3.0,301169.0,1737.0,3694.2
356,12147874,3.0,583768.0,1454.0,6523.6
357,12928175,3.0,40953.0,1108.0,867.24
358,12420615,4.0,430721.0,2407.0,4969.47
359,12018286,2.0,249523.0,1573.0,3216.42
360,12304677,2.0,220277.0,1246.0,2854.51
361,12932416,3.0,328921.0,1769.0,4144.89
362,10816253,4.0,671084.0,2438.0,8250.08
363,12998892,3.0,527929.0,1232.0,6897.16
364,10905297,2.0,192601.0,1769.0,2331.99
365,11864959,2.0,159143.0,838.0,2078.7
366,12035564,3.0,2230037.0,2606.0,26728.79
367,11163697,1.0,165732.0,675.0,2535.47
368,10813584,4.0,961175.0,2908.0,11894.89
369,12789251,3.0,89105.0,1790.0,1536.38
370,10842962,3.0,162738.0,2567.0,2132.51
371,12710305,4.0,1370587.0,2788.0,15437.75
372,11204960,4.0,131090.0,2000.0,2623.93
373,10744461,4.0,321975.0,1673.0,4010.64
374,12450002,2.0,92679.0,857.0,1174.86
375,11794636,0.0,526538.0,2910.0,6730.36
376,11892135,3.0,623706.0,1886.0,8659.2
377,11205024,3.0,197000.0,1336.0,3375.29
378,12713590,3.0,559479.0,2219.0,6651.85
379,12666692,3.0,364463.0,1188.0,4687.3
380,10760704,4.0,998623.0,2759.0,11433.58
381,11146207,3.0,379300.0,1684.0,5538.89
382,11594287,2.0,1761458.0,1757.0,20484.86
383,12675776,3.0,803000.0,1437.0,9139.36
384,12480852,2.0,453000.0,890.0,5320.31
385,11365279,3.0,139452.0,1860.0,1850.53
386,11621273,2.0,1106741.0,2392.0,13331.32
387,12177973,3.0,827928.0,2128.0,9130.16
388,13068561,3.0,500852.0,2616.0,6299.03
389,11492666,3.0,341450.0,918.0,4509.02
390,12557172,1.0,494000.0,980.0,5879.31
391,12044713,2.0,344835.0,1026.0,3742.48
392,12482367,2.0,424247.0,1413.0,5022.76
393,12014112,3.0,1719847.0,2949.0,20869.38
394,11859764,4.0,620058.0,2319.0,7816.58
395,11813391,1.0,134462.0,1086.0,1619.27
396,11714291,2.0,292206.0,1000.0,3567.39
397,11050506,4.0,432367.0,1383.0,5229.89
398,11487961,2.0,393946.0,1295.0,4718.5
399,11897984,3.0,396113.0,1211.0,4707.29
400,12005383,2.0,812200.0,1298.0,9887.72
401,12893080,2.0,402822.0,1830.0,5012.53
402,12730293,1.0,115230.0,800.0,1759.23
403,10783081,4.0,757831.0,2891.0,9189.99
404,13026311,3.0,484273.0,1993.0,5699.73
405,11489214,4.0,995000.0,2310.0,11723.78
406,11716022,2.0,385000.0,984.0,4664.33
407,11605521,2.0,507035.0,1090.0,6134.45
408,12253441,3.0,418000.0,1248.0,5317.13
409,11049456,3.0,587000.0,2336.0,7303.58
410,12406480,2.0,217558.0,516.0,2972.83
411,11226907,1.0,56559.0,1036.0,820.02
412,10941767,2.0,478587.0,838.0,5309.82
413,11521596,3.0,103712.0,1379.0,1920.46
414,12833461,3.0,324551.0,1006.0,3968.45
415,11567242,3.0,533010.0,1545.0,6465.73
416,11390564,2.0,264846.0,1685.0,3369.7
417,11389985,4.0,87877.0,2020.0,1326.84
418,11494753,2.0,888343.0,1105.0,9639.6
419,12484256,3.0,414212.0,927.0,5115.54
420,10917500,3.0,687348.0,2504.0,8404.51
421,11778870,5.0,38680.0,2896.0,715.37
422,12685296,4.0,1642000.0,2457.0,18919.18
423,12734838,2.0,332569.0,1093.0,4236.11
424,11506000,3.0,654276.0,1372.0,7351.39
425,12026533,4.0,395304.0,1748.0,4979.21
426,11232048,4.0,328296.0,2537.0,4827.4
427,12098126,4.0,1462000.0,2467.0,16730.64
428,12856686,5.0,125261.0,2625.0,1904.0
429,13101494,4.0,495338.0,2972.0,5885.03
430,12492575,3.0,267294.0,1218.0,3438.57
431,11600520,2.0,1014000.0,1576.0,12214.26
432,11179512,4.0,538000.0,2817.0,7148.82
433,11504152,5.0,1314944.0,1634.0,14603.18
434,11807535,2.0,152289.0,768.0,1918.45
435,11138619,2.0,228431.0,1320.0,4945.91
436,12027020,3.0,225707.0,1564.0,2888.25
437,11598501,2.0,234100.0,1469.0,2886.81
438,13091549,4.0,333425.0,1752.0,4503.05
439,11058331,3.0,174930.0,1243.0,2150.11
440,12489413,2.0,80932.0,986.0,1206.16
441,12096990,2.0,411930.0,1180.0,5185.22
442,12859680,5.0,323707.0,2447.0,4043.12
443,12859998,4.0,175528.0,2083.0,2330.79
444,12734662,4.0,652000.0,1919.0,8053.65
445,12327415,3.0,395946.0,1056.0,2685.29
446,11962981,2.0,632500.0,900.0,7678.43
447,11511040,5.0,2441075.0,3565.0,25847.81
448,11993634,2.0,626908.0,1387.0,6304.75
449,11969955,1.0,577270.0,1178.0,6992.82
450,11963255,4.0,389489.0,2206.0,4839.47
451,12494134,3.0,256259.0,1227.0,3279.73
452,12568256,3.0,180935.0,969.0,2325.0
453,12567981,4.0,427000.0,1508.0,5206.01
454,10883506,3.0,63738.0,1040.0,897.84
455,10918707,4.0,869901.0,3718.0,10628.77
456,11969138,2.0,84653.0,1910.0,1103.35
457,10786425,4.0,180579.0,1584.0,2434.07
458,11345821,4.0,619302.0,2715.0,8112.55
459,10757399,4.0,395797.0,2309.0,5079.66
460,10732341,4.0,676532.0,2938.0,8331.84
461,11344938,3.0,405688.0,1498.0,6184.48
462,12372333,2.0,326000.0,944.0,4393.94
463,12867014,4.0,77208.0,2297.0,1437.43
464,10838373,3.0,174499.0,2327.0,2217.31
465,11779260,1.0,305000.0,650.0,3708.2
466,12829075,2.0,356579.0,1104.0,4139.33
467,13037981,4.0,124231.0,1710.0,1754.67
468,11202324,3.0,101404.0,1227.0,2080.95
469,13038191,3.0,654835.0,1724.0,7656.05
470,11661481,6.0,1304082.0,6251.0,15910.16
471,11483672,3.0,625544.0,1940.0,9842.18
472,13038475,3.0,467757.0,2558.0,5577.34
473,12633900,2.0,244452.0,970.0,3081.63
474,13039202,4.0,622571.0,1668.0,7186.98
475,11922736,2.0,220200.0,675.0,2777.84
476,10872311,4.0,347848.0,1800.0,4316.41
477,11526600,2.0,705992.0,1966.0,8506.51
478,12668161,4.0,1641066.0,2940.0,18938.16
479,12903129,3.0,488209.0,1547.0,5941.48
480,11261206,4.0,446000.0,2520.0,7022.73
481,11608334,4.0,1831032.0,3245.0,22138.53
482,10984922,4.0,359000.0,1396.0,4476.55
483,10898196,2.0,486000.0,1437.0,5928.09
484,12389132,3.0,393000.0,1014.0,5045.77
485,13036194,3.0,332340.0,1872.0,4096.45
486,11480512,3.0,346553.0,1637.0,4534.4
487,10997867,4.0,67255.0,1378.0,856.71
488,11630359,3.0,1102419.0,1840.0,12866.17
489,10911738,5.0,1885425.0,3898.0,22717.86
490,11609668,3.0,90330.0,1691.0,1226.62
491,12263159,4.0,202261.0,1638.0,2954.34
492,11184594,4.0,564362.0,4713.0,7683.5
493,12538484,1.0,210172.0,731.0,2605.64
494,12699452,3.0,1244696.0,2046.0,14186.7
495,12589201,3.0,240215.0,1482.0,3201.3
496,11482623,3.0,439802.0,1318.0,5735.22
497,12468924,3.0,147787.0,2284.0,2104.07
498,11618908,2.0,616885.0,1519.0,7389.14
499,11978308,3.0,318089.0,1237.0,3826.16
500,11799208,5.0,384000.0,1377.0,4750.83
501,12513034,4.0,83540.0,1601.0,1170.16
502,12154702,3.0,312033.0,1676.0,4553.09
503,13036003,4.0,273826.0,1886.0,3457.73
504,12011455,1.0,494110.0,1270.0,6289.3
505,11040944,3.0,449376.0,1856.0,5537.53
506,10848148,2.0,465988.0,1410.0,5680.71
507,10764551,3.0,212120.0,1376.0,2648.32
508,12510591,2.0,271505.0,1164.0,3254.28
509,13091563,3.0,330941.0,1496.0,4426.94
510,11868371,4.0,117462.0,2628.0,1697.57
511,12828146,2.0,140429.0,960.0,1849.52
512,12549270,2.0,230000.0,720.0,2754.36
513,12508156,3.0,450000.0,1482.0,5632.0
514,11400644,2.0,157822.0,1052.0,2241.95
515,11072330,3.0,338070.0,1954.0,4246.66
516,11902546,2.0,109267.0,1109.0,1499.75
517,12669829,3.0,753908.0,1862.0,8579.47
518,10984678,3.0,52899.0,1084.0,4702.34
519,12109748,3.0,598630.0,1673.0,6955.86
520,12901389,2.0,191490.0,1092.0,2434.51
521,10854582,5.0,1604041.0,3860.0,19396.74
522,12040941,4.0,109099.0,1474.0,1228.53
523,11525882,3.0,696597.0,1585.0,8384.86
524,11191991,3.0,214340.0,1675.0,3497.97
525,10750303,5.0,922250.0,4726.0,10735.81
526,11643460,2.0,688000.0,1304.0,8206.7
527,12432469,2.0,289345.0,1056.0,3412.07
528,11879653,2.0,411407.0,1365.0,5253.86
529,12636915,2.0,36821.0,944.0,588.1
530,11953881,2.0,529863.0,1032.0,6402.55
531,12110330,1.0,117063.0,746.0,1514.94
532,10751705,3.0,89628.0,1677.0,1302.97
533,11214087,3.0,199000.0,1524.0,3432.27
534,11262524,3.0,297714.0,2510.0,4453.2
535,12614714,3.0,816000.0,1658.0,9297.21
536,10852144,1.0,196269.0,683.0,2415.93
537,10947605,2.0,86111.0,1525.0,994.97
538,12710518,2.0,440496.0,1068.0,5333.86
539,11583354,1.0,424288.0,875.0,5227.05
540,11861346,5.0,69428.0,1750.0,1110.52
541,12232628,3.0,160260.0,999.0,2302.49
542,10954801,2.0,94905.0,1578.0,1086.96
543,11565045,2.0,166577.0,1504.0,2098.07
544,12747651,2.0,163280.0,1142.0,2233.79
545,12265577,3.0,34500.0,1088.0,974.98
546,12728725,2.0,381000.0,1067.0,4761.52
547,11206362,2.0,156345.0,1318.0,2740.14
548,11878905,4.0,815862.0,2988.0,9861.47
549,12013735,0.0,218446.0,536.0,2685.09
550,12395232,3.0,306398.0,1119.0,4069.37
551,12681383,3.0,447999.0,1140.0,5176.37
552,10954767,5.0,1051000.0,3119.0,11575.59
553,12733177,3.0,121927.0,1260.0,1656.25
554,11779357,3.0,376000.0,1030.0,4487.09
555,11874459,2.0,347350.0,704.0,4277.55
556,10995493,4.0,616000.0,2015.0,7444.98
557,12701818,5.0,873643.0,3540.0,10148.76
